"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"New Mexico"," Total of All Companies","Residential Sales Revenue","268261698","205440414","265938752","328658000","370460050","384571380","401409058","415876002","308752027","339602726","313282899","282457409","321309380","327969378","285682117","262278449","276516991","271462391","271307275","256427901","347153236"
"New York"," Total of All Companies","Residential Sales Volume","330119694","319275549","355735381","344207485","352924481","306775994","329564668","317873603","312276378","291344611","285159710","254696749","292582223","323105870","321455606","298048272","316822705","359878045","358070456","332353193","345006607"
"New York"," Total of All Companies","Residential Sales Revenue","3879347862","3250774272","4209536847","4317234684","5225154805","4627992949","5203424814","5337448293","4670638633","4039548722","3855425307","3239840207","3581531918","3926352988","3458090633","3149531596","3806907749","4470555163","4480149527","4150419698","4705189448"
"North Carolina"," Total of All Companies","Residential Sales Volume","56815261","58903707","65410055","62800472","63865472","56506467","58364950","63911559","65642358","74520193","61644104","56511260","69653538","75177933","64523103","64547389","59933127","73261527","67947749","64045281","72066899"
"North Carolina"," Total of All Companies","Residential Sales Revenue","700944853","551994315","750827183","797736708","982318205","956609735","916377494","1059410387","935118438","931785043","773629557","688879534","823727038","892953040","746447753","730336603","796369765","887015641","874949687","847092755","1017300349"
"North Dakota"," Total of All Companies","Residential Sales Volume","10569854","11724766","11876424","11132338","10692290","9644311","10697870","11500499","11518205","10536496","10937211","9594352","12084755","12505304","10552241","10058529","11014977","12680960","13123513","11964527","11155501"
"North Dakota"," Total of All Companies","Residential Sales Revenue","81164503","60210514","86051470","100515941","121858291","104196561","97661392","118931873","97394935","85182301","88538974","71295774","89775017","110802838","86021374","72488264","84142443","91322004","91887395","81652914","101638849"
"Ohio"," Total of All Companies","Residential Sales Revenue","2071631085","1543968628","2009189310","2093397916","2699028519","2305672168","2072626579","2347519488","1625806416","1274157624","1205333958","677589978","541673126","651278860","528772154","439850199","449049721","466486617","441397011","394812268","496797357"
"Ohio"," Total of All Companies","Residential Sales Volume","214312405","204313278","210268793","193223495","202346366","160008619","158793535","160831543","139693883","123972806","116787710","77476114","58862595","64174116","57251168","48901500","45885417","50648625","47740298","44231231","44668046"
"Oklahoma"," Total of All Companies","Residential Sales Revenue","619135433","522141898","583547905","607784842","692627748","706665273","721838776","815745865","709519409","727559497","633546773","544264550","642128287","697217669","608214477","534724532","582402050","623129057","638248868","552906513","655720057"
"Oklahoma"," Total of All Companies","Residential Sales Volume","64591656","67139213","65656337","59449104","59372338","52733847","59861068","66225124","62293299","65428683","61387231","49051831","66108102","69049534","59399156","50572761","51068915","67340254","67890302","60719406","63742730"
"Oregon"," Total of All Companies","Residential Sales Revenue","371391281","409653249","367071919","427899989","513462353","596454004","628169071","625883826","650839833","510010881","547993380","486285988","501574166","482669917","463072341","459776981","506692005","454033994","477629448","496263274","543361471"
"Oregon"," Total of All Companies","Residential Sales Volume","38271067","38858205","37300083","38532031","39805567","41045090","42879905","45052500","44818806","40821056","46603728","43333250","46253870","41185354","37069760","39390562","47840603","42624698","47927121","45486766","46195857"
"Pennsylvania"," Total of All Companies","Residential Sales Volume","213139272","212572033","239980608","225070905","225435805","188954638","212816165","210512671","207072021","204053194","200071903","174890771","202315022","219773103","203656581","188718846","191865226","220033540","204143293","190393214","197737537"
"Pennsylvania"," Total of All Companies","Residential Sales Revenue","2454259321","2013684582","2615395396","2778737850","3213575301","3114721342","3099169507","3398636361","3015843780","2615289726","2492010415","2097493953","2353432286","2586922288","2247931909","1920941653","2186333199","2475827262","2387648530","2185872613","2375608291"
"Rhode Island"," Total of All Companies","Residential Sales Volume","17937272","17544833","20175625","19470281","19087697","16868886","17671698","17691685","17913588","16942156","16863570","15883402","18220976","19724242","20042207","17199691","18421470","20522868","19891520","18278283","18580888"
